model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
qwen3,8B,default,0,,AR-LSAT-dev,neutral,58,0,173,231,25.11
qwen3,8B,default,0,,AR-LSAT-test,neutral,65,0,165,230,28.26
qwen3,8B,default,0,,AR-LSAT-train,neutral,412,0,1218,1630,25.28
qwen3,8B,default,0,,AR-LSAT-dev,confident,64,0,167,231,27.71
qwen3,8B,default,0,,AR-LSAT-dev,unconfident,67,0,164,231,29.0
qwen3,8B,default,0,,AR-LSAT-test,confident,60,0,170,230,26.09
qwen3,8B,default,0,,AR-LSAT-test,unconfident,56,0,174,230,24.35
qwen3,8B,default,0,,AR-LSAT-train,confident,429,0,1201,1630,26.32
qwen3,8B,default,0,,AR-LSAT-train,unconfident,372,0,1258,1630,22.82
qwen3,8B,default,0,,AR-LSAT-dev,expert,62,0,169,231,26.84
qwen3,8B,default,0,,AR-LSAT-dev,non expert,69,0,162,231,29.87
qwen3,8B,default,0,,AR-LSAT-dev,student,67,0,164,231,29.0
qwen3,8B,default,0,,AR-LSAT-dev,person,67,0,164,231,29.0
qwen3,8B,default,0,,AR-LSAT-test,expert,53,0,177,230,23.04
qwen3,8B,default,0,,AR-LSAT-test,non expert,54,0,176,230,23.48
qwen3,8B,default,0,,AR-LSAT-test,student,61,0,169,230,26.52
qwen3,8B,default,0,,AR-LSAT-test,person,64,0,166,230,27.83
qwen3,8B,default,0,,AR-LSAT-train,expert,409,0,1221,1630,25.09
qwen3,8B,default,0,,AR-LSAT-train,non expert,406,0,1224,1630,24.91
qwen3,8B,default,0,,AR-LSAT-train,student,398,0,1232,1630,24.42
qwen3,8B,default,0,,AR-LSAT-train,person,415,0,1215,1630,25.46
